intervention,label,intervention_type,direction_definition,challenge,modulation_fraction,native_parameter_value,simulation_status,hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,composite_loss
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.8,2.6,ok,1586.7269426729454,2166.723175952282,7975.763496023676,15199.441744710259,63.86863133779476,7.9100047131970435,412.61024579625405,41.969712434176444,110.5,49.84317205568263,22576.98306257275,9028.245438240609,84.6765556808371,125.77706441544709,50.29663196791425,217.19258556306434
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.81,2.62,ok,1586.5138449469587,2166.8588124025546,7975.6218072161955,15199.81335582258,63.87075072578924,7.910047810390372,412.6299309380686,41.974747698121746,110.5,49.862072196817834,22579.208328349854,9096.406803653812,84.67862593773025,125.78946143927496,50.67636102314101,217.17425702291862
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.8200000000000001,2.64,ok,1586.3253297051665,2166.997677675791,7975.5405283036725,15200.183677721707,63.873007775410336,7.910031231788999,412.6495241355306,41.979601489650506,110.5,49.881025300418315,22581.4691831227,9164.589419533759,84.6806890123772,125.80205673048857,51.05620846536913,217.15819589706913
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.8300000000000001,2.66,ok,1586.149688704637,2167.1693679376513,7985.24373063905,15235.897795733275,63.79133378587275,7.8990189465648974,412.6690117399515,41.98424715813597,111.0,49.9000607699156,22592.38229515828,9255.810148454082,84.64387664296264,125.51323497310156,51.421167491411566,217.08066290471643
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.8400000000000001,2.68,ok,1585.9887602841773,2167.283085297016,7975.4260513682575,15200.897845914686,63.87767957840662,7.910069936918111,412.68838798808196,41.98883838797144,110.99999999999999,49.919026112553055,22585.924936610158,9301.159681784868,84.6846676652629,125.8268798696945,51.8170455809742,217.13255861818408
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.8500000000000001,2.7,ok,1585.8492947125785,2167.412507230767,7975.387766413766,15201.206527810795,63.87982353829591,7.9100417486580215,412.7076754079908,41.993095097759344,111.0,49.93820367124892,22588.09031049474,9369.530509100514,84.68638734156431,125.83894323395398,52.19794155487752,217.12132651995947
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.86,2.7199999999999998,ok,1585.730431825976,2167.5668919085115,7975.407604569793,15201.494272830525,63.882445846147604,7.910096355707941,412.72685777038464,41.997246097434484,111.0,49.95736582646438,22590.216753012734,9437.922369160322,84.68799037788594,125.85078971037734,52.57895470284302,217.1126662611361
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.87,2.74,ok,1585.6273371776167,2167.706830839626,7975.397960053295,15201.789396583565,63.88489824434218,7.910114837660645,412.74593248963737,42.001112969678125,111.49999999999999,49.97669294570232,22592.503288701897,9506.371350744288,84.68963452135692,125.86352807076268,52.96028607656986,217.10745992197036
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.88,2.76,ok,1585.5356739977974,2167.8420663712322,7975.412612932995,15202.04573080245,63.887269383912795,7.910074636134747,412.76492002060144,42.004984218405795,111.5,49.99589738713044,22594.598947041617,9574.877719194992,84.69106256714457,125.87520304758561,53.34193715428965,217.10103397797826
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.89,2.7800000000000002,ok,1585.4747558547338,2167.9935290029243,7975.4654992642845,15202.24715183756,63.889925297146945,7.910047618088046,412.783816769251,42.008596136912686,111.5,50.01524417886699,22596.514598641686,9643.419375470809,84.69218468990285,125.88587520134644,53.723784821564394,217.09786093128722
