intervention,challenge,response_class,u_opt,loss_baseline,loss_opt,loss_max,span,gain0,gain1,note
insulin_signal_global,fasting,TypeIII,0.15,0.02071545546307752,0.020697638273712876,0.020892970080016234,0.00021368423870364583,,,
glucagon_signal_hepatic,fasting,TypeIII,0.55,0.02071545546307752,0.020528819781608445,0.02058329434044706,0.00018663568146907658,,,
insulin_secretion,fasting,Type0,0.0,0.02071545546307752,0.02071545546307752,3.9041597264207177,3.88344427095764,,,
glucagon_secretion,fasting,Type0,0.0,0.02071545546307752,0.02071545546307752,0.4442991555089564,0.42358370004587886,,,
insulin_signal_global_inhibition,fasting,Type0,0.95,0.02071545546307752,0.020314483296594882,0.020479415309416434,0.00043478434347522105,,,
glucagon_signal_inhibition,fasting,TypeIII,0.1,0.02071545546307752,0.020661781612636133,0.02086671899441726,0.00027681360062880786,,,
insulin_secretion_inhibition,fasting,Type0,0.0,0.02071545546307752,0.02071545546307752,58.21511426141491,58.194398805951835,,,
glucagon_secretion_inhibition,fasting,Type0,0.0,0.02071545546307752,0.02071545546307752,48.33858436866333,48.31786891320025,,,
insulin_signal_global,ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,311.7347634823328,90.66360786577218,,,
glucagon_signal_hepatic,ivgtt,TypeI,1.0,221.07115561656065,185.71971839556525,185.71971839556525,35.35143722099539,,,
insulin_secretion,ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,384.6592528893307,163.58809727277003,,,
glucagon_secretion,ivgtt,TypeI,0.9,221.07115561656065,202.42585137948356,206.50766599281835,18.645304237077085,,,
insulin_signal_global_inhibition,ivgtt,TypeII,0.7,221.07115561656065,47.242800834178375,52.02794477624436,173.82835478238226,173.82835478238226,4.785143942065986,
glucagon_signal_inhibition,ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,267.215105008049,46.14394939148838,,,
insulin_secretion_inhibition,ivgtt,TypeII,0.8,221.07115561656065,44.76175642710585,82.44027275200561,176.30939918945478,176.30939918945478,37.67851632489976,
glucagon_secretion_inhibition,ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,414.7462148236867,193.67505920712608,,,
insulin_signal_global,ogtt,TypeI,0.95,6.809072323411645,4.320153138401198,4.35998806745277,2.488919185010446,,,
glucagon_signal_hepatic,ogtt,TypeII*,0.7,6.809072323411645,6.432720511116039,6.462074275484338,1.064605073999222,0.37635181229560555,0.02935376436829884,"beats baseline, not max"
insulin_secretion,ogtt,TypeI,1.0,6.809072323411645,3.933136691129524,3.933136691129524,2.8759356322821206,,,
glucagon_secretion,ogtt,TypeII,0.85,6.809072323411645,6.475844648113508,6.709051963941552,1.2330541811785523,0.33322767529813646,0.23320731582804388,
insulin_signal_global_inhibition,ogtt,Type0,0.05,6.809072323411645,6.732662363453406,85.18038826723715,78.44772590378375,,,
glucagon_signal_inhibition,ogtt,TypeII,0.1,6.809072323411645,6.53519746967222,6.73578965336819,0.3235559008171043,0.2738748537394242,0.20059218369596987,
insulin_secretion_inhibition,ogtt,Type0,0.05,6.809072323411645,6.703121684758783,217.87161890655165,211.16849722179288,,,
glucagon_secretion_inhibition,ogtt,TypeII,0.95,6.809072323411645,6.1046922201378,6.284755101801151,1.354599373300995,0.7043801032738441,0.18006288166335072,
insulin_signal_global,ivitt,Type0,0.0,69.18036601508939,69.18036601508939,149.90451411232627,80.72414809723688,,,
glucagon_signal_hepatic,ivitt,TypeI,1.0,69.18036601508939,56.28692782171502,56.28692782171502,12.893438193374372,,,
insulin_secretion,ivitt,Type0,0.0,69.18036601508939,69.18036601508939,174.29932713289557,105.11896111780618,,,
glucagon_secretion,ivitt,TypeI,0.9,69.18036601508939,54.211331576713064,54.34065633416111,14.969034438376326,,,
insulin_signal_global_inhibition,ivitt,TypeI,1.0,69.18036601508939,0.8855582651461509,0.8855582651461509,68.29480774994325,,,
glucagon_signal_inhibition,ivitt,Type0,0.0,69.18036601508939,69.18036601508939,91.86792800571376,22.687561990624374,,,
insulin_secretion_inhibition,ivitt,TypeI,1.0,69.18036601508939,20.282953824557445,20.282953824557445,48.897412190531945,,,
glucagon_secretion_inhibition,ivitt,Type0,0.0,69.18036601508939,69.18036601508939,410.1860473250126,341.00568130992326,,,
