t,u,glucose_mgdl,insulin_mU_L,glucagon_pM,GammaHGP,GammaPGU,GammaHGU,Secr,GammaPCR,MIPGU,MIHGPinf,MCHGP,MIHGUinf
-30.0,0.0,89.08117744953643,13.10483870967742,11.48,0.8611095785864007,0.1930554845416145,0.11110892574554117,31.907165999520554,10.446799131444001,0.9928590470346963,0.9999992540156787,0.9999993377001946,0.999999783498902
-28.0,0.0,89.0834632529294,13.104838381559784,11.480009640189492,0.861110838317345,0.19306983361974994,0.11110828480706546,31.927278201340677,10.4468228876256,0.992859009916355,0.9998829082869913,1.0000001037876762,1.000052220412947
-26.0,0.0,89.08645777283675,13.10757024122419,11.479882738127605,0.8610573168270609,0.19308236889690994,0.11111012647897738,31.96066080016127,10.445001449488181,0.9928639692011991,0.9987329962047995,0.9999901334984209,1.0005704961416784
-24.0,0.0,89.08928105480487,13.11239781844721,11.479412840550687,0.8609220427266345,0.19309686482452806,0.11111430699045244,31.959438050969695,10.442809533057563,0.9928881934693834,0.9980657714533158,0.9999534542083344,1.0008712300958063
-22.0,0.0,89.0916828835351,13.11562512480402,11.478731850905591,0.8607604823867321,0.1931128258300344,0.11111731192116679,31.947393394063063,10.441601486063549,0.9929274270049477,0.99796868875717,0.9999008125208874,1.0009149881723522
-20.0,0.0,89.09361459982703,13.116615926690995,11.478041399495872,0.8606152676595417,0.19312783793928806,0.11111814209025354,31.935490565814135,10.441370955336675,0.9929685744393577,0.9981683006825186,0.999848229755948,1.0008250172740236
-18.0,0.0,89.09513476816484,13.116132269699229,11.477469171986954,0.8605038374040348,0.19314018325872293,0.11111741308473595,31.92783537459466,10.441689930570695,0.9930021565862956,0.9984401821963723,0.999805683455529,1.0007024734317866
-16.0,0.0,89.0963394195242,13.115093171629233,11.477052501106048,0.8604255704237408,0.19314938881973617,0.11111612378111155,31.92450387015942,10.44215854898689,0.9930249407976435,0.9986627966046026,0.99977592686554,1.000602136416746
-14.0,0.0,89.09732477431042,13.11409731876432,11.476767135297761,0.8603711608252201,0.19315593378113993,0.11111499511590647,31.923877085566357,10.44255245533116,0.9930383582224227,0.9988041378630874,0.9997568451715843,1.0005384313447854
-12.0,0.0,89.09815071756219,13.113386543890808,11.476576404725868,0.8603320193771683,0.1931604717945147,0.11111434499386547,31.924439728435807,10.442799430524202,0.9930450098141517,0.998875207511697,0.9997454077416346,1.0005063990855083
-10.0,0.0,89.09885906622377,13.11297394487563,11.476442961613841,0.860301351541627,0.19316369212001364,0.11111419629916919,31.925130545593177,10.442916629085198,0.9930476987290779,0.9989039992895904,0.9997385722905249,1.0004934221809234
-8.0,0.0,89.09947416717458,13.112766578202836,11.476341154107311,0.8602753754713878,0.1931660986947102,0.11111442070793888,31.925495345459463,10.442954165572065,0.9930484285970635,0.9989153219783307,0.9997342601581193,1.0004883188716795
-6.0,0.0,89.1000086393979,13.1126605809544,11.476257633180714,0.8602526397505316,0.19316798382072625,0.11111486362950306,31.925490552718188,10.442958179842076,0.9930482972263182,0.9989239977478057,0.9997313879383162,1.0004844085708855
-4.0,0.0,89.10047717159136,13.112583152780516,11.476186104623372,0.8602326124503904,0.1931695239318894,0.11111539926367338,31.92527493764584,10.442956748936943,0.9930477869450351,0.9989351424523861,0.9997294423730123,1.000479385485394
-2.0,0.0,89.10088684999823,13.112504767234318,11.476125179791058,0.8602153189022028,0.19317078185419467,0.11111596661669476,31.924989874228853,10.442959693339636,0.9930470127522497,0.9989487194801585,0.9997283013874952,1.0004732661180573
