key,value,source
Insulin signalling (hepatic)|fasting|G1,,results/scans/*_classification.csv
Insulin signalling (global)|ivgtt|class,Type0,results/scans/*_classification.csv
Insulin signalling (global)|ivgtt|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (global)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Insulin signalling (global)|ivgtt|Lopt,221.07115561656065,results/scans/*_classification.csv
Insulin signalling (global)|ivgtt|L1,311.7347634823328,results/scans/*_classification.csv
Insulin signalling (global)|ivgtt|G0,,results/scans/*_classification.csv
Insulin signalling (global)|ivgtt|G1,,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivgtt|class,TypeI,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivgtt|u_opt,1.0,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivgtt|Lopt,185.71971839556525,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivgtt|L1,185.71971839556525,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivgtt|G0,,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivgtt|G1,,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivgtt|class,Type0,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivgtt|u_opt,0.0,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivgtt|Lopt,221.07115561656065,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivgtt|L1,384.6592528893307,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivgtt|G0,,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivgtt|G1,,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivgtt|class,TypeI,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivgtt|u_opt,0.89,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivgtt|Lopt,199.25431748752743,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivgtt|L1,206.50766599281835,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivgtt|G0,21.816838129033187,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivgtt|G1,7.253348505290887,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivgtt|class,TypeII,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivgtt|u_opt,0.7,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivgtt|Lopt,47.242800834178375,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivgtt|L1,52.02794477624436,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivgtt|G0,173.82835478238226,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivgtt|G1,4.785143942065986,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivgtt|class,Type0,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivgtt|u_opt,0.0,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivgtt|Lopt,221.07115561656065,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivgtt|L1,267.215105008049,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivgtt|G0,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivgtt|G1,,results/scans/*_classification.csv
Insulin secretion (impairment)|ivgtt|class,TypeII,results/scans/*_classification.csv
Insulin secretion (impairment)|ivgtt|u_opt,0.7400000000000001,results/scans/*_classification.csv
Insulin secretion (impairment)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Insulin secretion (impairment)|ivgtt|Lopt,44.368434389430256,results/scans/*_classification.csv
Insulin secretion (impairment)|ivgtt|L1,82.44027275200561,results/scans/*_classification.csv
Insulin secretion (impairment)|ivgtt|G0,176.70272122713038,results/scans/*_classification.csv
Insulin secretion (impairment)|ivgtt|G1,38.07183836257536,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivgtt|class,Type0,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivgtt|u_opt,0.0,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivgtt|Lopt,221.07115561656065,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivgtt|L1,414.7462148236867,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivgtt|G0,,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivgtt|G1,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivgtt|class,Type0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivgtt|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivgtt|Lopt,221.07115561656065,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivgtt|L1,308.844394510924,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivgtt|G0,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivgtt|G1,,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivgtt|class,Type0,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivgtt|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivgtt|L0,221.07115561656065,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivgtt|Lopt,221.07115561656065,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivgtt|L1,238.03190061039436,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivgtt|G0,,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivgtt|G1,,results/scans/*_classification.csv
Insulin signalling (global)|ogtt|class,TypeI,results/scans/*_classification.csv
Insulin signalling (global)|ogtt|u_opt,0.9625,results/scans/*_classification.csv
Insulin signalling (global)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Insulin signalling (global)|ogtt|Lopt,4.320404771043499,results/scans/*_classification.csv
Insulin signalling (global)|ogtt|L1,4.35998806745277,results/scans/*_classification.csv
Insulin signalling (global)|ogtt|G0,2.4886675523681454,results/scans/*_classification.csv
Insulin signalling (global)|ogtt|G1,0.0395832964092708,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ogtt|class,TypeII*,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ogtt|u_opt,0.74,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ogtt|Lopt,6.418815183537122,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ogtt|L1,6.462074275484338,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ogtt|G0,0.3902571398745227,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ogtt|G1,0.043259091947216,results/scans/*_classification.csv
Insulin secretion (potentiation)|ogtt|class,TypeI,results/scans/*_classification.csv
Insulin secretion (potentiation)|ogtt|u_opt,1.0,results/scans/*_classification.csv
Insulin secretion (potentiation)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Insulin secretion (potentiation)|ogtt|Lopt,3.933136691129524,results/scans/*_classification.csv
Insulin secretion (potentiation)|ogtt|L1,3.933136691129524,results/scans/*_classification.csv
Insulin secretion (potentiation)|ogtt|G0,,results/scans/*_classification.csv
Insulin secretion (potentiation)|ogtt|G1,,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ogtt|class,TypeII,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ogtt|u_opt,0.91,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ogtt|Lopt,6.432689795407548,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ogtt|L1,6.709051963941552,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ogtt|G0,0.3763825280040969,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ogtt|G1,0.2763621685340043,results/scans/*_classification.csv
Insulin signalling (inhibition)|ogtt|class,Type0,results/scans/*_classification.csv
Insulin signalling (inhibition)|ogtt|u_opt,0.05,results/scans/*_classification.csv
Insulin signalling (inhibition)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Insulin signalling (inhibition)|ogtt|Lopt,6.732662363453406,results/scans/*_classification.csv
Insulin signalling (inhibition)|ogtt|L1,85.18038826723715,results/scans/*_classification.csv
Insulin signalling (inhibition)|ogtt|G0,,results/scans/*_classification.csv
Insulin signalling (inhibition)|ogtt|G1,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ogtt|class,TypeII,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ogtt|u_opt,0.03,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ogtt|Lopt,6.477076428925854,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ogtt|L1,6.73578965336819,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ogtt|G0,0.3319958944857903,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ogtt|G1,0.258713224442336,results/scans/*_classification.csv
Insulin secretion (impairment)|ogtt|class,Type0,results/scans/*_classification.csv
Insulin secretion (impairment)|ogtt|u_opt,0.05,results/scans/*_classification.csv
Insulin secretion (impairment)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Insulin secretion (impairment)|ogtt|Lopt,6.703121684758783,results/scans/*_classification.csv
Insulin secretion (impairment)|ogtt|L1,217.87161890655165,results/scans/*_classification.csv
Insulin secretion (impairment)|ogtt|G0,,results/scans/*_classification.csv
Insulin secretion (impairment)|ogtt|G1,,results/scans/*_classification.csv
Glucagon secretion (suppression)|ogtt|class,TypeII,results/scans/*_classification.csv
Glucagon secretion (suppression)|ogtt|u_opt,0.9025,results/scans/*_classification.csv
Glucagon secretion (suppression)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Glucagon secretion (suppression)|ogtt|Lopt,6.0539216803635725,results/scans/*_classification.csv
Glucagon secretion (suppression)|ogtt|L1,6.284755101801151,results/scans/*_classification.csv
Glucagon secretion (suppression)|ogtt|G0,0.7551506430480721,results/scans/*_classification.csv
Glucagon secretion (suppression)|ogtt|G1,0.2308334214375786,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ogtt|class,TypeI,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ogtt|u_opt,1.0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ogtt|Lopt,4.228662761866561,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ogtt|L1,4.228662761866561,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ogtt|G0,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ogtt|G1,,results/scans/*_classification.csv
Insulin signalling (hepatic)|ogtt|class,TypeII*,results/scans/*_classification.csv
Insulin signalling (hepatic)|ogtt|u_opt,0.89,results/scans/*_classification.csv
Insulin signalling (hepatic)|ogtt|L0,6.809072323411645,results/scans/*_classification.csv
Insulin signalling (hepatic)|ogtt|Lopt,6.183546182794951,results/scans/*_classification.csv
Insulin signalling (hepatic)|ogtt|L1,6.256183383239627,results/scans/*_classification.csv
Insulin signalling (hepatic)|ogtt|G0,0.6255261406166941,results/scans/*_classification.csv
Insulin signalling (hepatic)|ogtt|G1,0.0726372004446762,results/scans/*_classification.csv
Insulin signalling (global)|ivitt|class,Type0,results/scans/*_classification.csv
Insulin signalling (global)|ivitt|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (global)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Insulin signalling (global)|ivitt|Lopt,69.18036601508939,results/scans/*_classification.csv
Insulin signalling (global)|ivitt|L1,149.90451411232627,results/scans/*_classification.csv
Insulin signalling (global)|ivitt|G0,,results/scans/*_classification.csv
Insulin signalling (global)|ivitt|G1,,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivitt|class,TypeI,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivitt|u_opt,1.0,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivitt|Lopt,56.28692782171502,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivitt|L1,56.28692782171502,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivitt|G0,,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|ivitt|G1,,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivitt|class,Type0,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivitt|u_opt,0.0,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivitt|Lopt,69.18036601508939,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivitt|L1,174.29932713289557,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivitt|G0,,results/scans/*_classification.csv
Insulin secretion (potentiation)|ivitt|G1,,results/scans/*_classification.csv
