Intervention,Challenge,Class,u*,L(0),L(u*),L(1),G0,G1
Insulin signalling (global),fasting,TypeIII,0.15,0.0207154554630775,0.0206976382737128,0.0208929700800162,,
Glucagon signalling (hepatic HGP),fasting,TypeIII,0.55,0.0207154554630775,0.0205288197816084,0.020583294340447,,
Insulin secretion (potentiation),fasting,Type0,0.0,0.0207154554630775,0.0207154554630775,3.9041597264207177,,
Glucagon secretion (potentiation),fasting,Type0,0.0,0.0207154554630775,0.0207154554630775,0.4442991555089564,,
Insulin signalling (inhibition),fasting,Type0,0.95,0.0207154554630775,0.0203144832965948,0.0204794153094164,,
Glucagon signalling (inhibition),fasting,TypeIII,0.1,0.0207154554630775,0.0206617816126361,0.0208667189944172,,
Insulin secretion (impairment),fasting,Type0,0.0,0.0207154554630775,0.0207154554630775,58.21511426141491,,
Glucagon secretion (suppression),fasting,Type0,0.0,0.0207154554630775,0.0207154554630775,48.33858436866333,,
Insulin signalling (peripheral uptake),fasting,Type0,0.0,0.0207154554630775,0.0207154554630775,0.0215161182201225,,
Insulin signalling (hepatic),fasting,TypeIII,0.95,0.0207154554630775,0.0204885098300722,0.0205779620589903,,
Insulin signalling (global),ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,311.7347634823328,,
Glucagon signalling (hepatic HGP),ivgtt,TypeI,1.0,221.07115561656065,185.71971839556525,185.71971839556525,,
Insulin secretion (potentiation),ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,384.6592528893307,,
Glucagon secretion (potentiation),ivgtt,TypeI,0.89,221.07115561656065,199.25431748752743,206.50766599281835,21.816838129033187,7.253348505290887
Insulin signalling (inhibition),ivgtt,TypeII,0.7,221.07115561656065,47.242800834178375,52.02794477624436,173.82835478238226,4.785143942065986
Glucagon signalling (inhibition),ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,267.215105008049,,
Insulin secretion (impairment),ivgtt,TypeII,0.7400000000000001,221.07115561656065,44.368434389430256,82.44027275200561,176.70272122713038,38.07183836257536
Glucagon secretion (suppression),ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,414.7462148236867,,
Insulin signalling (peripheral uptake),ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,308.844394510924,,
Insulin signalling (hepatic),ivgtt,Type0,0.0,221.07115561656065,221.07115561656065,238.03190061039436,,
Insulin signalling (global),ogtt,TypeI,0.9625,6.809072323411645,4.320404771043499,4.35998806745277,2.4886675523681454,0.0395832964092708
Glucagon signalling (hepatic HGP),ogtt,TypeII*,0.74,6.809072323411645,6.418815183537122,6.462074275484338,0.3902571398745227,0.043259091947216
Insulin secretion (potentiation),ogtt,TypeI,1.0,6.809072323411645,3.933136691129524,3.933136691129524,,
Glucagon secretion (potentiation),ogtt,TypeII,0.91,6.809072323411645,6.432689795407548,6.709051963941552,0.3763825280040969,0.2763621685340043
Insulin signalling (inhibition),ogtt,Type0,0.05,6.809072323411645,6.732662363453406,85.18038826723715,,
Glucagon signalling (inhibition),ogtt,TypeII,0.03,6.809072323411645,6.477076428925854,6.73578965336819,0.3319958944857903,0.258713224442336
Insulin secretion (impairment),ogtt,Type0,0.05,6.809072323411645,6.703121684758783,217.87161890655165,,
Glucagon secretion (suppression),ogtt,TypeII,0.9025,6.809072323411645,6.0539216803635725,6.284755101801151,0.7551506430480721,0.2308334214375786
Insulin signalling (peripheral uptake),ogtt,TypeI,1.0,6.809072323411645,4.228662761866561,4.228662761866561,,
Insulin signalling (hepatic),ogtt,TypeII*,0.89,6.809072323411645,6.183546182794951,6.256183383239627,0.6255261406166941,0.0726372004446762
Insulin signalling (global),ivitt,Type0,0.0,69.18036601508939,69.18036601508939,149.90451411232627,,
