u,hypo_burden_mgdl_min,hyper_burden_mgdl_min,intervention,challenge,axes,insulin_auc_muL_min,glucose_sd_mgdl
0.05,,,glucagon_secretion,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14716.162245294876,18.42486334841611
0.1,,,glucagon_secretion,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14743.207155453998,17.90308761467089
0.2,,,glucagon_secretion,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14793.227689022066,17.878583141518376
0.35,,,glucagon_secretion,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14859.474398091746,17.756357782553525
0.75,,,glucagon_secretion,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14997.818699000902,17.635166801134698
0.85,,,glucagon_secretion,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,15025.615544109474,17.61775411398835
0.0,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.05,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.1,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.15,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.2,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.25,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.3,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.35,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.4,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.45,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.5,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.55,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.6,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.65,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.7,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.75,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.8,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.85,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.9,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.95,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
1.0,0.0,0.0,glucagon_signal_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.0,,0.0,glucagon_signal_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,14687.597932641009,
0.0,,,glucagon_signal_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14687.597932641009,19.131192348604344
0.05,,,glucagon_signal_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14691.089623505432,17.929511874055244
0.1,,,glucagon_signal_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14694.54896288581,17.90993601020556
0.0,0.0,0.0,insulin_secretion_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.05,0.0,0.0,insulin_secretion_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.1,0.0,0.0,insulin_secretion_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.15,0.0,0.0,insulin_secretion_inhibition,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.15,,0.0,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,14054.357335612454,
0.2,,37.30180051397338,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,13830.206527140368,
0.25,,111.31836094372304,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,13597.454232054339,
0.3,,211.0781633815905,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,13354.643119179542,
0.35,,335.6940212955649,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,13100.235543173205,
0.4,,486.37866380538804,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,12832.054310704463,
0.45,,666.5761047990524,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,12548.023333677549,
0.5,,881.2966296860633,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,12245.296387458147,
0.55,,1138.0999593164852,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,11920.950661884403,
0.6,,1448.5618869155405,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,11571.148310033439,
0.65,,1829.9365633461184,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,11191.584299712584,
0.7,,2309.5810271997907,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,10776.562836065765,
0.75,,2931.7434620870213,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,10317.939354765182,
0.8,,3776.751135398445,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,9802.936838297388,
0.85,,5003.279015962358,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,9205.893393377519,
0.9,,6993.023039353622,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,8461.23984017447,
0.95,,11120.55243411596,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,7327.700817997138,
1.0,,69871.99151951108,insulin_secretion_inhibition,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,7.355682411997761,
0.05,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14482.07938371632,18.56244504873161
0.1,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,14271.324262021959,19.61571741164376
0.2,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,13830.206527140368,21.219857540611983
0.25,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,13597.454232054339,21.580578731940065
0.35,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,13100.235543173205,23.5478140049637
0.4,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,12832.054310704463,25.6998530200509
0.45,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,12548.023333677549,26.217263631751976
0.5,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,12245.296387458147,30.61638142759191
0.6,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,11571.148310033439,32.7738304039388
0.65,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,11191.584299712584,35.538697719693324
0.7,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,10776.562836065765,40.497776183942534
0.75,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,10317.939354765182,41.95203661673228
0.8,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,9802.936838297388,45.07058740383516
0.85,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,9205.893393377519,52.642784237818596
0.9,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,8461.23984017447,60.88917513214118
0.95,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,7327.700817997138,72.90438294746423
1.0,,,insulin_secretion_inhibition,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,7.355682411997761,140.74744676712444
0.0,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.05,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.1,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.15,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.2,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.25,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.3,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.35,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.4,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.45,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.5,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.55,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.6,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.65,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.7,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.75,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.8,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.85,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.9,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
0.95,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
1.0,0.0,0.0,insulin_signal_global,ogtt,hypo_burden_mgdl_min|hyper_burden_mgdl_min,,
1.0,,0.0,insulin_signal_global,ogtt,hyper_burden_mgdl_min|insulin_auc_muL_min,9292.67569711998,
0.95,,,insulin_signal_global,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,9416.112774698537,9.645892820145537
1.0,,,insulin_signal_global,ogtt,glucose_sd_mgdl|insulin_auc_muL_min,9292.67569711998,10.724450338392726
