hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,modulation_fraction,composite_loss
0.0,693.0087430225434,6456.15203628169,32117.44949266601,29.370579576706522,0.419368199013909,158.64800341922367,81.30477624573275,145.9868546319696,7.786410693846975,24556.348736657168,2408.4921117753415,107.05816497555337,81.85449578885722,8.028307039251139,0.0,12.190277537021027
0.0,697.1720205807947,6465.936354900171,32127.73835597567,25.1358002166591,0.23704543173924353,158.7186332219067,81.26590765013493,145.73180439686539,7.825319783525728,24608.296560759514,2408.1109471358873,107.09246118658557,82.02765520253172,8.027036490452957,0.05,10.415631662999525
0.0,701.2332551209535,6475.373713058485,32137.79791038252,25.05218932605963,0.232993539382567,158.78907667131725,81.22605882505117,147.39401177271077,7.865210260021627,24660.237714866515,2407.7433358494727,107.1259930346084,82.20079238288838,8.025811119498242,0.1,10.399693006222982
0.0,705.5133962495393,6484.8637696652995,32147.82842321042,30.706361067029782,0.45133596797715686,158.8593631717071,81.18522700254547,147.06308376793163,7.9060849342652375,24712.379070988376,2407.382553511747,107.15942807736806,82.37459690329459,8.024608511705823,0.15,12.70011865159381
0.0,709.599064828473,6494.585468691295,32158.158672798803,25.073441813105905,0.23812902632929211,158.9299572831514,81.14335538460254,146.41700379267974,7.948000782104714,24764.64816289133,2407.014375386011,107.19386224266268,82.54882720963778,8.023381251286704,0.2,10.450879120587505
0.0,713.7775612078653,6504.130674150587,32168.2810778031,25.56636358249307,0.23367922044670314,159.0003294767196,81.10035036351853,146.12142896948325,7.991051185056008,24816.912942045306,2406.653108061869,107.227603592677,82.72304314015102,8.022177026872896,0.25,10.569934347597655
0.0,717.7344051633149,6513.687297117658,32178.499435400416,25.226567606456953,0.21519569555487772,159.07069271881207,81.0562073287374,146.8850574237336,8.035240939072509,24869.687301227834,2406.2937414999624,107.26166478466806,82.89895767075944,8.020979138333209,0.3,10.428649433678302
0.0,721.9323912203884,6523.275251335429,32188.697149708976,25.40854715435657,0.2314528694803218,159.14102400886887,81.01076590568529,147.96449877537225,8.080730467075895,24921.96180277217,2405.937453269759,107.29565716569658,83.07320600924056,8.019791510899196,0.35,10.558818918074099
0.0,726.0045746174512,6532.944707757142,32199.03067643086,25.4902103130726,0.2371889774767349,159.21132415849308,80.96403039712294,146.4352544245924,8.127515515981912,24974.657077523872,2405.5874470215895,107.33010225476953,83.24885692507958,8.018624823405299,0.4,10.61077140887244
0.0,730.1373468782928,6542.479294440742,32209.311388330152,26.16225511565154,0.2339148157856735,159.2815381366566,80.9158715421179,147.08145951899786,8.175725394755332,25027.46125081523,2405.2317756821835,107.36437129443384,83.42487083605077,8.017439252273945,0.45,10.783636773741419
0.0,734.343249453445,6551.9688386132175,32219.46819741029,25.71464580962678,0.20966568168369498,159.35179987941044,80.86624640246733,147.8626830163091,8.225403102243916,25080.318655053445,2404.887758031981,107.39822732470097,83.60106218351149,8.01629252677327,0.5,10.593581021382896
0.0,738.7729026019806,6561.629678786882,32229.834065905605,25.147460757856205,0.22065857546808915,159.42206160646538,80.81499248349134,147.39553510944947,8.27671118716485,25133.321320913998,2404.546801440515,107.43278021968536,83.77773773637999,8.015156004801717,0.55,10.510120603356672
0.0,742.6708246155422,6571.3441850643585,32240.272656358637,25.56712192874015,0.23919220816454465,159.4921632315602,80.76198568839065,147.5249953623585,8.32977380585011,25186.374362164657,2404.2003852318344,107.46757552119546,83.95458120721553,8.014001284106115,0.6,10.704866786624727
0.0,747.133372079027,6580.87982688929,32250.586295072757,25.330082449113313,0.23798731192889183,159.56238022196945,80.7071645886534,147.18128970687496,8.384652444774389,25239.538938847396,2403.8699057969334,107.50195431690919,84.13179646282465,8.012899685989778,0.65,10.656105566262442
0.0,751.2114273732934,6590.486305668191,32260.967292706755,25.333654504763672,0.22144917558577487,159.6323742088058,80.65037744987299,146.98040078521996,8.44149889859436,25292.89451219811,2403.5297780242927,107.53655764235585,84.3096483739937,8.011765926747643,0.7,10.605995265641516
0.0,755.6342607629877,6600.09494948691,32271.32459059993,25.2841751169874,0.2137459654559597,159.70251705544132,80.59143199395606,147.688952420196,8.500505508513498,25346.236106227952,2403.194413119192,107.57108196866643,84.48745368742651,8.01064804373064,0.75,10.582829080734859
0.0,759.7553034525849,6609.763975426728,32281.818362446797,25.74397241125238,0.23380879901605559,159.77271714562454,80.53017953094799,147.28277409158014,8.56182102911265,25399.50044225688,2402.852697247623,107.60606120815599,84.66500147418961,8.00950899082541,0.8,10.79287778848431
0.0,763.9435581385213,6619.4854359922265,32292.340699570086,25.612051919550947,0.23844183157678037,159.8427374950018,80.46640447611097,148.28404950102708,8.625661105475388,25453.18657666969,2402.520994596564,107.64113566523362,84.84395525556563,8.00840331532188,0.85,10.799563572159382
0.0,768.003055993423,6628.969039028601,32302.697996815674,25.41821112765708,0.21164279339884837,159.91266100297187,80.39992493994978,148.1248131092482,8.692207717549152,25506.77754348541,2402.1792760324633,107.67565998938558,85.02259181161803,8.007264253441544,0.9,10.66015409647433
0.0,772.4785676833608,6638.639683805708,32313.252720984186,25.67594242068774,0.23158613820410306,159.98268737820487,80.33040189642658,148.50238387349006,8.761799940066453,25560.517402748952,2401.8367220226246,107.71084240328062,85.20172467582984,8.006122406742081,0.95,10.824188763296446
0.0,776.7343261414517,6648.303498543978,32323.7560086066,25.710436024100755,0.2245379136639004,160.05268983158237,80.25762939769618,149.01207572801792,8.83464380058345,25614.319185571785,2401.482205849723,107.745853362022,85.38106395190594,8.004940686165742,1.0,10.824774131467882
