hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,modulation_fraction,composite_loss
0.0,0.0,543.2887326667685,53366.71126733323,0.00039511237151988184,7.764535056506961e-06,89.09389626909007,89.09127954053125,0.0,0.0,7852.78754264824,6874.836027625079,89.09300712409555,13.10982895266818,11.477188693864907,0.0,0.020418635336819195
0.0,0.0,543.2631640739405,53366.73683592606,0.00040189503024279247,7.859679188574472e-06,89.09395818227712,89.09131437367172,0.0,0.0,7852.819600089051,6874.817869737741,89.09304980955936,13.109882470933307,11.477158380196562,0.05,0.020420763587651592
0.0,0.0,543.2423953572292,53366.75760464277,0.000412216896633314,7.900101814885584e-06,89.09402167799975,89.09137181175015,0.0,0.0,7852.853872931451,6874.7995795200295,89.09308448187441,13.109939687698583,11.477127845609399,0.1,0.020423562096960796
0.0,0.0,542.7550919366917,53322.244908063316,0.0004138991825648976,7.953711387895348e-06,89.09408672174348,89.09143106314792,0.0,0.0,7846.330647884145,6869.041524512606,89.09314103268724,13.10999272829431,11.477095279051973,0.15,0.020407311953302833
0.0,0.0,542.7267885242965,53322.2732114757,0.0004196431700149088,7.986369079661218e-06,89.09415349295266,89.09149224048535,0.0,0.0,7846.364653642395,6869.022088530524,89.09318832326767,13.110049546603834,11.47706280456228,0.2,0.02040893363512751
0.0,0.0,542.7535152530982,53322.2464847469,0.0004938583099627853,8.219610803542062e-06,89.09422208706393,89.09155541089935,0.0,0.0,7846.413398217894,6869.00572897956,89.0931436670792,13.110130991174426,11.47703547030837,0.25,0.020428506969793696
0.0,0.0,543.5802705015401,53411.419729498455,0.00044269618440030044,8.506814537785338e-06,89.09429263084625,89.09146142761253,0.0,0.0,7859.545532843036,6880.459758672408,89.09327728023095,13.110167694483797,11.476997095366817,0.3,0.02045076554238556
0.0,0.0,543.5584407343129,53411.44155926569,0.00045650943112665273,8.557765847288247e-06,89.09436512043555,89.09152667636704,0.0,0.0,7859.5850794366925,6880.438962149557,89.09331369352074,13.110233660444859,11.47696240558725,0.35,0.020454487888143903
0.0,0.0,543.5240309343128,53411.475969065694,0.00046142322168242755,8.60245723795345e-06,89.09443966705219,89.09159411721102,0.0,0.0,7859.620180878423,6880.417869475989,89.09337109101867,13.110292211640404,11.476927221811492,0.4,0.020455951242446594
0.0,0.0,543.0389904078195,53366.96100959218,0.0004691936742664476,8.670598856458524e-06,89.09451629871415,89.09166327841702,0.0,0.0,7853.104425838461,6874.65699985204,89.09342405608044,13.110357973019134,11.476889816113589,0.45,0.020441294332237396
0.0,0.0,543.0119166447525,53366.988083355245,0.00048149661792977385,8.718543002370473e-06,89.09459554988771,89.09173512653649,0.0,0.0,7853.144002988611,6874.635421197182,89.09346925434933,13.110424045056112,11.47685379164805,0.5,0.020444626613267267
0.0,0.0,542.9773813103122,53367.02261868969,0.0004894117782762233,8.771153918689325e-06,89.0946767571062,89.09180987895444,0.0,0.0,7853.182964799282,6874.612579554379,89.0935269093317,13.110489089815161,11.476815658688446,0.55,0.020446878542878633
0.0,0.0,542.4967793549081,53322.5032206451,0.000503347854623539,8.834504789978979e-06,89.09476067254155,89.09188735688834,0.0,0.0,7846.670968580658,6868.850877779385,89.0935726326568,13.11056135101196,11.476776738144336,0.6,0.02043375083849671
0.0,0.0,542.4639880262871,53322.53601197371,0.0005151606023907401,8.898606667404911e-06,89.0948473514592,89.0919677272308,0.0,0.0,7846.713105825059,6868.827064573501,89.09362742184412,13.11063175576451,11.476736949997495,0.65,0.020437028831966422
0.0,0.0,542.4285606004833,53322.57143939952,0.0005264773069959039,8.965717066806538e-06,89.09493720327083,89.09205114775988,0.0,0.0,7846.755914845028,6868.802504451214,89.09368661553805,13.110703282949087,11.476695913870032,0.7,0.0204401956943404
0.0,0.0,543.2993505245944,53411.70064947541,0.0005421347085756217,9.572183421066366e-06,89.09502886739818,89.0919393684393,0.0,0.0,7859.909374022196,6880.254991199629,89.09374587068459,13.110774602205497,11.476655531609056,0.75,0.020480477819672313
0.0,0.0,543.2614454634462,53411.738554536554,0.0005539295301313276,9.653240374955242e-06,89.09512400027174,89.09202520869877,0.0,0.0,7859.955737971073,6880.228550920208,89.09380909847631,13.110851939901707,11.47661142772345,0.8,0.020483825853921604
0.0,0.0,543.2211128400997,53411.778887159904,0.0005645943955969556,9.736790096578787e-06,89.09522224496492,89.09211437825552,0.0,0.0,7860.00111041867,6880.202103915862,89.09387637557948,13.110927623717547,11.476567312620286,0.85,0.020486899382733466
0.0,0.0,542.7336410305275,53367.26635896947,0.000580982965931475,9.826673411585635e-06,89.09532371113066,89.0922071653771,0.0,0.0,7853.494570013818,6874.436736673671,89.09393382131798,13.111009298854453,11.476522097952705,0.9,0.02047449939960596
0.0,0.0,542.6936557183441,53367.30634428165,0.0005962779122930921,9.91954268151963e-06,89.09542894942217,89.0923037733604,0.0,0.0,7853.54350524692,6874.408736911511,89.09400057476068,13.111090993734424,11.476475353775479,0.95,0.0204787738172342
0.0,0.0,542.6501786964654,53367.349821303535,0.0006099567051099745,1.0023354160633277e-05,89.0955376685211,89.092401013338,0.0,0.0,7853.59240495093,6874.380154785282,89.09407315743495,13.111172629300384,11.476427637371089,1.0,0.020482687506012072
