hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,modulation_fraction,composite_loss
0.0,69871.91794451486,84593.41471450345,111593.41471450345,93.57445312521914,1.0888793263180176,465.71564642091363,105.79997510078063,300.0,0.0,7.356717954155537,4552.250867974317,371.9780490483448,0.024522393180518458,15.17416955991439,0.0,203.68197499521193
0.0,70897.74819224863,85637.77414022088,112637.77414022086,94.08714398522908,1.0941337734668166,469.2814771925256,106.90606386422492,300.0,0.0,7.356675047376072,4551.288268965891,375.4592471340695,0.024522250157920242,15.17096089655297,0.05,206.3957404763255
0.0,71888.3670557525,86645.33427491617,113645.33427491618,94.6050430384507,1.0989501346626924,472.7267073854324,107.9593026933207,300.0,0.0,7.356485238976957,4550.451815840657,378.8177809163873,0.024521617463256522,15.168172719468858,0.1,209.02102728515908
0.0,72864.89038017717,87637.68413065768,114637.68413065768,95.1343493339171,1.1036377457622282,476.1293558992606,108.98129727769977,300.0,0.0,7.356387920601965,4549.708856138006,382.12561376885895,0.024521293068673216,15.165696187126686,0.15,211.61341211898437
0.0,73832.63876360963,88620.17535793484,115620.17535793483,95.67472519611049,1.1082583680141986,479.50200912387766,109.97915041811896,300.0,0.0,7.356976113710793,4549.042339292411,385.40058452644945,0.02452325371236931,15.163474464308038,0.2,214.18635908895357
0.0,74795.09341995715,89596.58349213253,116596.58349213251,96.22959984103615,1.1128652245378479,482.86481311543116,110.9564706734775,300.0,0.0,7.356839733077408,4548.440314061047,388.6552783071084,0.024522799110258026,15.161467713536823,0.25,216.74964141552547
0.0,75753.66271515422,90568.41331467818,117568.41331467818,96.79817724244275,1.1174704777793383,486.217175638526,111.91553410941795,300.0,0.0,7.356712616514059,4547.894011126095,391.89471104892726,0.0245223753883802,15.159646703753651,0.3,219.30662965237957
0.0,76710.37526685029,91537.57778471202,118537.57778471202,97.38175479488817,1.1220859690983243,489.56864125932395,112.85796224430645,300.0,0.0,7.356867366601928,4547.396249440895,395.1252592823734,0.024522891222006425,15.157987498136317,0.35,221.86276705347538
0.0,77665.58353593954,92504.54574843217,119504.54574843217,97.98031162112183,1.1267217947739632,492.93005488146287,113.78499827299808,300.0,0.0,7.356419746899694,4546.941061968175,398.34848582810724,0.024521399156332314,15.156470206560583,0.4,224.41896993110598
0.0,78620.31286460966,93470.53527387933,120470.53527387933,98.59293426027875,1.1313771668520514,496.2825305434525,114.69764180253573,300.0,0.0,7.356847737738199,4546.523468219337,401.5684509129311,0.02452282579246066,15.155078227397789,0.45,226.977570123343
0.0,79575.3537296413,94436.15352756341,121436.15352756344,99.22183216814885,1.136058281815267,499.65884604827,115.59672222540026,300.0,0.0,7.356977759716821,4546.139248037878,404.78717842521144,0.02452325919905607,15.153797493459594,0.5,229.54112096685574
0.0,80531.62787177855,95402.43273298522,122402.43273298521,99.8668604419659,1.1407743142581337,503.04255982745144,116.48295580245538,300.0,0.0,7.357059422852771,4545.784867967372,408.0081091099507,0.024523531409509237,15.152616226557905,0.55,232.1119272843345
0.0,81489.16056892805,96369.56755852737,123369.56755852737,100.5278127176141,1.1455228285364834,506.4370953269511,117.356963501349,300.0,0.0,7.3570853913235394,4545.457202662761,411.2318918617579,0.024523617971078465,15.151524008875871,0.6,234.68999093484217
0.0,82449.14984393209,97338.48740631234,124338.48740631236,101.20600542775354,1.1503145530849568,509.8511539110988,118.21930665615606,300.0,0.0,7.3565731749343195,4545.153698850797,414.46162468770785,0.024521910583114398,15.150512329502657,0.65,237.27867899472068
0.0,83411.42702157737,98309.30264996226,125309.30264996225,101.90012046682291,1.1551306323966481,513.2758659845911,119.07048645021511,300.0,0.0,7.356980396897425,4544.871501495854,417.69767549987415,0.024523267989658083,15.149571671652847,0.7,239.87716482853085
0.0,84376.57177912729,99282.58692619536,126282.58692619535,102.61092303206192,1.1599879199683103,516.7209450649937,119.91097030508745,300.0,0.0,7.356908389102039,4544.609059988436,420.94195642065114,0.024523027963673463,15.148696866628118,0.75,242.48715633889702
0.0,85345.61655135789,100259.19638583419,127259.19638583419,103.34036418676358,1.1648872995305117,520.1841901137593,120.74118269686288,300.0,0.0,7.356763168246706,4544.364309254914,424.19732128611395,0.024522543894155688,15.147881030849712,0.8,245.11172591294016
0.0,86318.33580883195,101239.20548797384,128239.20548797384,104.08739591219218,1.1698256384825858,523.6775698302201,121.56151996845034,300.0,0.0,7.356473323843944,4544.1357549188115,427.46401829324617,0.02452157774614648,15.147119183062705,0.85,247.75003519084152
0.0,87295.30621908233,102222.95289366055,129222.95289366055,104.85170621348664,1.1747977168044397,527.1828902111877,122.37235769216856,300.0,0.0,7.356964165463295,4543.921469706178,430.74317631220185,0.02452321388487765,15.146404899020594,0.9,250.40342696320337
0.0,88277.2017452496,103211.29071245951,130211.29071245951,105.63538220026852,1.179816994995203,530.7213371338876,123.17404075801039,300.0,0.0,7.356684439667246,4543.72097635662,434.03763570819837,0.02452228146555749,15.1457365878554,0.95,253.07416175385833
0.0,89264.14435190163,104204.34346050007,131204.34346050007,106.43761258221657,1.1848757149813385,534.2820833968669,123.96689791458786,300.0,0.0,7.356805741044256,4543.532518282083,437.34781153500023,0.024522685803480854,15.145108394273612,1.0,255.7623106205239
