hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,modulation_fraction,composite_loss
0.0,0.0,543.2887326667685,53366.71126733323,0.00039511237151988184,7.764535056506961e-06,89.09389626909007,89.09127954053125,0.0,0.0,7852.78754264824,6874.836027625079,89.09300712409555,13.10982895266818,11.477188693864907,0.0,0.020418635336819195
0.0,0.0,543.428599571752,53366.57140042825,0.00037772137554450215,7.4810809163995286e-06,89.09363261961394,89.09113742518608,0.0,0.0,7852.606261732982,6874.936767332871,89.09277362341945,13.109526313410655,11.47735687367758,0.05,0.020412858369239596
0.0,0.0,544.0202458601045,53410.979754139895,0.00036979553735713635,7.232720108692366e-06,89.09339614554273,89.09100479940476,0.0,0.0,7859.005742787154,6880.765011112038,89.09254337638014,13.109267294056972,11.477506273748187,0.1,0.02042656792442305
0.0,0.0,544.1313597331589,53410.86864026684,0.0003537136770272534,7.021167453325811e-06,89.09318215695977,89.09087928622469,0.0,0.0,7858.86198355999,6880.844980253423,89.09235803213818,13.109027495512912,11.477639666811381,0.15,0.020421467043025714
0.0,0.0,544.2312503742378,53410.76874962577,0.0003425676495237889,6.889674968897716e-06,89.09298817139,89.09076159143771,0.0,0.0,7858.734146667741,6880.916339585179,89.09219140888369,13.108814256326507,11.477758698223818,0.2,0.020417946465315473
0.0,0.0,542.9582782927313,53277.04172170727,0.0003216272246270659,6.238189878034133e-06,89.0928113551781,89.09080260864039,0.0,0.0,7838.95442054895,6863.764305556344,89.09204301288841,13.108619432356104,11.477866731699573,0.25,0.0203591112771377
0.0,0.0,543.5237214195474,53321.47627858045,0.00034006338375041495,6.143096050955318e-06,89.0926493531117,89.09069436010422,0.0,0.0,7845.408536928001,6869.564948642919,89.09185677289966,13.108452024942357,11.477969839002371,0.3,0.020380115269759372
0.0,0.0,543.5730241824283,53321.42697581758,0.00030260922337888946,5.988645218399075e-06,89.09250073586114,89.09059245324228,0.0,0.0,7845.308407950344,6869.615882817385,89.09177439568518,13.108284725063232,11.478054942050768,0.35,0.020369967624497262
0.0,0.0,544.0963490306264,53365.90365096937,0.00029061556403672643,5.87046990933117e-06,89.09236362062607,89.09049625881472,0.0,0.0,7851.774223545435,6875.404338541781,89.09165884969845,13.10813726802243,11.478137460002973,0.4,0.020383287110098562
0.0,0.0,544.1683011007772,53365.83169889922,0.0002873351827208879,5.789700733151768e-06,89.09223671257988,89.09040528585398,0.0,0.0,7851.695141160872,6875.450314192874,89.091538729381,13.108005244008133,11.478214214011476,0.45,0.02038201642372982
0.0,0.0,544.676783491064,53410.32321650894,0.00027557986424248874,5.6791139945634e-06,89.09211908310027,89.09032450044661,0.0,0.0,7858.173938774458,6881.230706117072,89.09144823437688,13.107879797788922,11.478283079427976,0.5,0.020395446436999174
0.0,0.0,544.7346790246786,53410.26532097532,0.00027820957392046087,5.6616217796115566e-06,89.09200929455983,89.09023789123238,0.0,0.0,7858.105776483381,6881.269636052071,89.09135166134332,13.107766099221653,11.478348016767425,0.55,0.020395923524266706
0.0,0.0,543.8466857950933,53321.1533142049,0.00027038370930361174,5.728784574650794e-06,89.09190715300309,89.09027730259965,0.0,0.0,7844.932705121821,6869.822776305837,89.09131714988287,13.107656984330527,11.478400628748265,0.6,0.020360258326738708
0.0,0.0,544.3782338374355,53365.62176616257,0.00026297697939456355,5.3842490706517296e-06,89.0918118871623,89.09015771348744,0.0,0.0,7851.429154021271,6875.5994171490165,89.09118825736657,13.107561192022155,11.478463133804702,0.65,0.020373872493939803
0.0,0.0,544.8870382527268,53410.11296174727,0.0002634185020305247,5.313152921378214e-06,89.091722640743,89.09008293297981,0.0,0.0,7857.928594656662,6881.371242910271,89.09109751751004,13.10747054988601,11.478517502769426,0.7,0.020390545255113315
0.0,0.0,544.4993506609183,53365.50064933909,0.0002760679915055893,5.061019705213889e-06,89.091638892166,89.09005937097095,0.0,0.0,7851.328192661045,6875.663206773233,89.0909860589968,13.107392642172028,11.478569627334277,0.75,0.0203756929332015
0.0,0.0,544.9574553190074,53410.042544681,0.00023769227207518341,5.046727895870844e-06,89.09155995707893,89.08999098828981,0.0,0.0,7857.827649096935,6881.426227532581,89.09098005784988,13.107302166967363,11.478609220237834,0.8,0.02038288276281787
0.0,0.0,544.9919943962261,53410.00800560377,0.00023644142214724812,5.174386093372496e-06,89.0914857400094,89.08992555237498,0.0,0.0,7857.782337352725,6881.451448601291,89.0909224447102,13.107226584408215,11.478651290410827,0.85,0.02038300687368328
0.0,0.0,545.0290931882884,53409.97090681171,0.00024190534711315072,5.129956708127952e-06,89.09142357695642,89.08990324645467,0.0,0.0,7857.740108460881,6881.475935190153,89.09086056182103,13.107156144221653,11.47869213542978,0.9,0.020384127003992662
0.0,0.0,545.1014465642833,53409.89855343572,0.00026331075736723235,4.872896075175169e-06,89.0913572485443,89.08984397352305,0.0,0.0,7857.704978956731,6881.503164104373,89.09073987228643,13.107097546216398,11.478737554802958,0.95,0.020388398007625555
0.0,0.0,544.248705796623,53320.75129420338,0.0003277972170524111,4.921630224158118e-06,89.09129429204991,89.08988935326794,0.0,0.0,7844.562893818854,6870.048509188057,89.09064543726547,13.10703908741663,11.478777793129586,1.0,0.020370793952256147
