hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,modulation_fraction,composite_loss
0.0,19586.551927461267,48830.79480418161,102785.79480418161,16.35930852626031,0.12473039252789396,180.52766711618918,105.87828618665583,599.5,0.0,7.304320607316097,9099.54671499729,171.452535119569,0.012184021029718259,15.178559991655197,0.0,56.059126160114374
0.0,19315.891567826544,48545.859159244006,102500.859159244,16.315667515457008,0.12385536074544334,180.05550513649624,105.74216851438212,599.5,0.0,7.241029826065959,9099.93871736692,170.97724630399333,0.012078448417124202,15.179213873839734,0.05,55.36806501595029
0.0,19040.31918737542,48252.29507388995,102207.29507388995,16.292169430870224,0.1230904688890414,179.58040078675717,105.52517928390782,599.5,0.0,7.230839016756197,9100.358972574835,170.48756476045028,0.01206144956923469,15.17991488336086,0.1,54.67020023603869
0.0,18761.52351593371,47953.36844755075,101908.36844755073,16.27830511908965,0.12237450755285956,179.10231614844673,105.26905484979025,599.4999999999999,0.0,7.24565005196884,9100.80360930596,169.98893819441327,0.01208615521596137,15.180656562645474,0.15,53.96688146019111
0.0,18481.060473705227,47651.82642936472,101606.82642936474,16.266441430187474,0.12166163814961156,178.62122647222287,105.00506163214202,599.5,0.0,7.265021031852432,9101.268262097357,169.4859490064466,0.012118467109011563,15.181431629853806,0.2,53.25990680329185
0.0,18202.50567737411,47354.4950089647,101309.4950089647,16.237114283524864,0.1208439072279766,178.13715045834536,104.80965994350002,599.5,0.0,7.23431993537848,9101.735197118296,168.9899833343865,0.012067255938913227,15.182210503950452,0.25,52.55291735199968
0.0,17916.94293357563,47044.171655057595,100999.1716550576,16.23924361979542,0.12019220105918396,177.64994863777247,104.49091734582638,599.5,0.0,7.29094127715332,9102.252807021388,168.472346380413,0.012161703548212378,15.183073906624502,0.3,51.8369364602119
0.0,17630.624607365546,46732.955237449816,100687.9552374498,16.23762919349141,0.11950993124896461,177.1596528602083,104.18721142225,599.4999999999999,0.0,7.336004380347055,9102.790263436722,167.95321974553764,0.012236871360045132,15.183970414406545,0.35,51.1180084073003
0.0,17348.045254909957,46429.54063577688,100384.54063577688,16.208624160762415,0.11867138143422964,176.66628030570274,103.99005568901036,599.4999999999999,0.0,7.301221280809471,9103.318613132207,167.44710698211327,0.01217885117733023,15.184851731663402,0.4,50.40095485138706
0.0,17064.41814215904,46124.62214526863,100079.62214526863,16.178428387359453,0.11782005169661226,176.16970749668673,103.7971204167073,599.5,0.0,7.260234640494422,9103.866519792613,166.93848564682006,0.012110483136771346,15.185765671046894,0.45,49.68093309050638
0.0,16773.085818010193,45804.7557805314,99759.75578053141,16.184115439085204,0.11714790312668417,175.66986737448252,103.46709320612234,599.5,0.0,7.32123540778366,9104.486204633435,166.40493040956034,0.012212235876202935,15.186799340506147,0.5,48.95133598391077
0.0,16492.57443165717,45507.43666456644,99462.43666456644,16.121307413997087,0.11611441662284959,175.16689325380935,103.39744461587298,599.5,0.0,7.181176456178778,9105.033597991274,165.90898526199572,0.011978609601632658,15.18771242367185,0.55,48.23022165055184
0.0,16200.765149468203,45187.552848600615,99142.55284860061,16.11571572529204,0.11536654521825042,174.66051726478818,103.11112344781189,599.5,0.0,7.203439074042554,9105.69030609064,165.37540091509692,0.012015744910829948,15.18880785002609,0.6,47.4963095196154
0.0,15903.68834431484,44857.284107790285,98812.28410779027,16.13189825999106,0.11471656220146158,174.150761974866,102.74393977351927,599.5,0.0,7.289804846452897,9106.413722008425,164.8244939245876,0.012159807917352623,15.190014548804712,0.65,46.75506386334841
0.0,15610.112763483807,44534.41938153229,98489.4193815323,16.122375855989002,0.11392578851980316,173.6376735486286,102.47506107365477,599.5,0.0,7.296592164111664,9107.128671446153,164.28593725026238,0.012171129548142893,15.191207125014433,0.7,46.015581705751266
0.0,15316.747305156096,44212.57527870777,98167.57527870777,16.103615770435166,0.11308152896170111,173.12116995603475,102.24052374291789,599.5,0.0,7.272846543641301,9107.859680915823,163.7490830337077,0.012131520506490912,15.19242649026826,0.75,45.274101440159534
0.0,15018.654008089816,43880.77402874861,97835.7740287486,16.10624046348521,0.11232775868685316,172.60115514469058,101.92926550423658,599.4999999999999,0.0,7.310502893894393,9108.666605337246,163.19561973102353,0.012194333434352618,15.193772485967052,0.8,44.526509902919265
0.0,14721.52896779105,43551.26342235989,97506.26342235987,16.09669534000235,0.11150495183954079,172.07765724901856,101.66410083081314,599.4999999999999,0.0,7.307094324447125,9109.48851427659,162.64597735172626,0.012188647747201213,15.195143476691564,0.85,43.77802033503455
0.0,14420.895027730543,43214.34476535805,97169.34476535805,16.10059845041096,0.11073154005923791,171.5505645303404,101.35229288351904,599.5,0.0,7.342435296986968,9110.380578110991,162.08397792386666,0.01224759849372305,15.196631489759785,0.9,43.02431828075538
0.0,14124.332780553017,42886.74820690561,96841.74820690561,16.07340452277961,0.10980872895664794,171.0199262717428,101.15250627501436,599.5,0.0,7.275241927885587,9111.245020339462,161.53752828508024,0.012135516143262031,15.19807342842279,0.95,42.27242337840145
0.0,13819.67531185066,42540.932121690435,96495.93212169044,16.088582254573584,0.10905936737535511,170.4855444918616,100.80542854186335,599.4999999999999,0.0,7.337541394259428,9112.255890646422,160.9606874423527,0.012239435186421066,15.199759617425228,1.0,41.51157749178135
